sample_code;sex;Diet;specimen_part;Replicate
SRR8270499;female;HighFat;head;R1
SRR8270501;female;HighFat;head;R1
SRR8270495;female;HighFat;head;R1
SRR8270500;female;HighFat;head;R1
SRR8270496;female;HighFat;head;R1
SRR8270497;female;HighFat;head;R1
SRR8270507;female;HighFat;head;R1
SRR8270503;female;HighFat;head;R1
SRR8270508;female;HighFat;head;R1
SRR8270504;female;HighFat;head;R1
SRR8270509;female;HighFat;head;R1
SRR8270505;female;HighFat;head;R1
SRR8270557;female;Regular;head;R1
SRR8270553;female;Regular;head;R1
SRR8270551;female;Regular;head;R1
SRR8270555;female;Regular;head;R1
SRR8270552;female;Regular;head;R1
SRR8270419;male;HighFat;head;R1
SRR8270418;male;HighFat;head;R1
SRR8270415;male;HighFat;head;R1
SRR8270420;male;HighFat;head;R1
SRR8270414;male;HighFat;head;R1
SRR8270416;male;HighFat;head;R1
SRR8270404;male;HighFat;body without head;R3
SRR8270403;male;HighFat;body without head;R3
SRR8270400;male;HighFat;body without head;R3
SRR8270401;male;HighFat;body without head;R1
SRR8270397;male;HighFat;body without head;R1
SRR8270394;male;HighFat;body without head;R1
SRR8270395;male;HighFat;body without head;R1
SRR8270398;male;HighFat;body without head;R1
SRR8270425;male;HighFat;head;R1
SRR8270422;male;HighFat;head;R1
SRR8270426;male;HighFat;head;R1
SRR8270423;male;HighFat;head;R1
SRR8270427;male;HighFat;head;R1
SRR8270424;male;HighFat;head;R1
SRR8270460;male;Regular;head;R1
SRR8270458;male;Regular;head;R1
SRR8270462;male;Regular;head;R1
SRR8270457;male;Regular;head;R1
SRR8270456;male;Regular;head;R1
SRR8270461;male;Regular;head;R1
SRR8270405;male;HighFat;body without head;R1
SRR8270469;male;Regular;head;R1
SRR8270466;male;Regular;head;R1
SRR8270464;male;Regular;head;R1
SRR8270468;male;Regular;head;R1
SRR8270446;male;Regular;body without head;R1
SRR8270470;male;Regular;head;R1
SRR8270402;male;HighFat;body without head;R1
SRR8270442;male;Regular;body without head;R1
SRR8270465;male;Regular;head;R1
SRR8270443;male;Regular;body without head;R1
SRR8270447;male;Regular;body without head;R1
SRR8270448;male;Regular;body without head;R1
SRR8270444;male;Regular;body without head;R1
SRR8270428;male;Regular;body without head;R1
SRR8270432;male;Regular;body without head;R1
SRR8270433;male;Regular;body without head;R1
SRR8270429;male;Regular;body without head;R1
SRR8270434;male;Regular;body without head;R1
SRR8270430;male;Regular;body without head;R1
SRR8270410;male;HighFat;head;R1
SRR8270406;male;HighFat;head;R1
SRR8270399;male;HighFat;body without head;R1
SRR8270407;male;HighFat;head;R1
SRR8270408;male;HighFat;head;R1
SRR8270412;male;HighFat;head;R1
SRR8270411;male;HighFat;head;R1
SRR8270449;male;Regular;body without head;R1
SRR8270436;male;Regular;body without head;R1
SRR8270439;male;Regular;body without head;R1
SRR8270440;male;Regular;body without head;R1
SRR8270441;male;Regular;body without head;R1
SRR8270437;male;Regular;body without head;R1
SRR8270560;female;Regular;head;R2
SRR8270564;female;Regular;head;R2
SRR8270559;female;Regular;head;R2
SRR8270563;female;Regular;head;R2
SRR8270515;female;HighFat;head;R2
SRR8270511;female;HighFat;head;R2
SRR8270565;female;Regular;head;R2
SRR8270516;female;HighFat;head;R2
SRR8270513;female;HighFat;head;R2
SRR8270517;female;HighFat;head;R2
SRR8270512;female;HighFat;head;R2
SRR8270523;female;Regular;body without head;R2
SRR8270524;female;Regular;body without head;R2
SRR8270525;female;Regular;body without head;R2
SRR8270519;female;Regular;body without head;R2
SRR8270506;female;HighFat;head;R2
SRR8270547;female;Regular;head;R2
SRR8270543;female;Regular;head;R2
SRR8270544;female;Regular;head;R2
SRR8270549;female;Regular;head;R2
SRR8270548;female;Regular;head;R2
SRR8270521;female;Regular;body without head;R2
SRR8270396;male;HighFat;body without head;R2
SRR8270435;male;Regular;body without head;R2
SRR8270438;male;Regular;body without head;R2
SRR8270445;male;Regular;body without head;R2
SRR8270431;male;Regular;body without head;R2
SRR8270386;male;HighFat;body without head;R2
SRR8270391;male;HighFat;body without head;R2
SRR8270384;male;HighFat;body without head;R2
SRR8270390;male;HighFat;body without head;R2
SRR8270387;male;HighFat;body without head;R2
SRR8270392;male;HighFat;body without head;R2
SRR8270393;male;HighFat;body without head;R2
SRR8270388;male;HighFat;body without head;R2
SRR8270453;male;Regular;head;R2
SRR8270450;male;Regular;head;R2
SRR8270454;male;Regular;head;R2
SRR8270451;male;Regular;head;R2
SRR8270413;male;HighFat;head;R2
SRR8270409;male;HighFat;head;R2
SRR8270556;female;Regular;head;R3
SRR8270561;female;Regular;head;R3
SRR8270483;female;HighFat;body without head;R3
SRR8270545;female;Regular;head;R3
SRR8270520;female;Regular;body without head;R3
SRR8270479;female;HighFat;body without head;R3
SRR8270484;female;HighFat;body without head;R3
SRR8270481;female;HighFat;body without head;R3
SRR8270541;female;Regular;body without head;R3
SRR8270540;female;Regular;body without head;R3
SRR8270480;female;HighFat;body without head;R3
SRR8270535;female;Regular;body without head;R3
SRR8270539;female;Regular;body without head;R3
SRR8270536;female;Regular;body without head;R3
SRR8270537;female;Regular;body without head;R3
SRR8270510;female;HighFat;head;R3
SRR8270491;female;HighFat;body without head;R3
SRR8270487;female;HighFat;body without head;R3
SRR8270493;female;HighFat;body without head;R3
SRR8270492;female;HighFat;body without head;R3
SRR8270489;female;HighFat;body without head;R3
SRR8270488;female;HighFat;body without head;R3
SRR8270546;female;Regular;head;R3
SRR8270550;female;Regular;head;R3
SRR8270514;female;HighFat;head;R3
SRR8270522;female;Regular;body without head;R3
SRR8270518;female;HighFat;head;R3
SRR8270498;female;HighFat;head;R3
SRR8270526;female;Regular;body without head;R3
SRR8270502;female;HighFat;head;R3
SRR8270490;female;HighFat;body without head;R3
SRR8270533;female;Regular;body without head;R3
SRR8270494;female;HighFat;body without head;R3
SRR8270529;female;Regular;body without head;R3
SRR8270532;female;Regular;body without head;R3
SRR8270527;female;Regular;body without head;R3
SRR8270528;female;Regular;body without head;R3
SRR8270531;female;Regular;body without head;R3
SRR8270476;female;HighFat;body without head;R3
SRR8270473;female;HighFat;body without head;R3
SRR8270472;female;HighFat;body without head;R3
SRR8270474;female;HighFat;body without head;R3
SRR8270477;female;HighFat;body without head;R3
SRR8270482;female;HighFat;body without head;R3
SRR8270478;female;HighFat;body without head;R3
SRR8270486;female;HighFat;body without head;R3
SRR8270538;female;Regular;body without head;R1
SRR8270542;female;Regular;body without head;R1
SRR8270554;female;Regular;head;R3
SRR8270558;female;Regular;head;R3
SRR8270530;female;Regular;body without head;R1
SRR8270534;female;Regular;body without head;R3
SRR8270562;female;Regular;head;R3
SRR8270475;female;HighFat;body without head;R3
SRR8270471;male;Regular;head;R3
SRR8270467;male;Regular;head;R3
SRR8270385;male;HighFat;body without head;R3
SRR8270455;male;Regular;head;R3
SRR8270452;male;Regular;head;R3
SRR8270389;male;HighFat;body without head;R3
SRR8270421;male;HighFat;head;R3
SRR8270463;male;Regular;head;R3
SRR8270417;male;HighFat;head;R3
SRR8270459;male;Regular;head;R3
